"filename", "language", "TypeScript", "JSON", "JSON with Comments", "SCSS", "HTML", "SVG", "JavaScript", "comment", "blank", "total"
"c:\Users\pedro\'sd-gen'\src\app\user-profile\user-profile.page.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\pedro\'sd-gen'\src\app\user-profile\user-profile.page.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\pedro\'sd-gen'\src\assets\shapes.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\pedro\'sd-gen'\src\environments\environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\pedro\'sd-gen'\src\environments\environment.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 11, 3, 18
"c:\Users\pedro\'sd-gen'\src\global.scss", "SCSS", 0, 0, 0, 10, 0, 0, 0, 13, 4, 27
"c:\Users\pedro\'sd-gen'\src\index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 1, 8, 27
"c:\Users\pedro\'sd-gen'\src\main.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\pedro\'sd-gen'\src\polyfills.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 47, 7, 56
"c:\Users\pedro\'sd-gen'\src\test.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Users\pedro\'sd-gen'\src\theme\variables.scss", "SCSS", 0, 0, 0, 176, 0, 0, 0, 24, 37, 237
"c:\Users\pedro\'sd-gen'\src\zone-flags.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 5, 1, 7
"c:\Users\pedro\'sd-gen'\tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\pedro\'sd-gen'\tsconfig.json", "JSON with Comments", 0, 0, 29, 0, 0, 0, 0, 1, 1, 31
"c:\Users\pedro\'sd-gen'\tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 686, 16162, 29, 277, 168, 1, 37, 126, 280, 17766
